PLAYER_ID,PLAYER_NAME,SEASON_ID,initial_cluster,offensive_cluster,defensive_cluster,playmaking_cluster
1630162,Anthony Edwards,2022-23,5,1,5,1
203085,Austin Rivers,2022-23,2,5,1,5
1627854,Bryn Forbes,2022-23,2,5,1,4
1630183,Jaden McDaniels,2022-23,5,4,4,2
1629669,Jaylen Nowell,2022-23,2,4,1,2
1629162,Jordan McLaughlin,2022-23,2,5,1,4
1631169,Josh Minott,2022-23,2,3,1,5
1626157,Karl-Anthony Towns,2022-23,4,1,4,6
203937,Kyle Anderson,2022-23,4,4,4,6
1630568,Luka Garza,2022-23,1,5,1,3
1630346,Matt Ryan,2022-23,2,5,1,5
201144,Mike Conley,2022-23,5,2,4,4
1630233,Nathan Knight,2022-23,1,3,1,3
1629675,Naz Reid,2022-23,1,4,4,3
1629638,Nickeil Alexander-Walker,2022-23,2,5,1,5
203497,Rudy Gobert,2022-23,4,4,3,6
1627752,Taurean Prince,2022-23,2,4,1,2
1631111,Wendell Moore Jr.,2022-23,2,5,1,5
1630162,Anthony Edwards,2021-22,5,2,5,1
1626156,D'Angelo Russell,2021-22,5,2,4,1
202328,Greg Monroe,2021-22,4,3,2,6
1630183,Jaden McDaniels,2021-22,2,4,4,2
1627774,Jake Layman,2021-22,2,5,1,5
1629020,Jarred Vanderbilt,2021-22,1,3,5,2
1629669,Jaylen Nowell,2021-22,2,4,1,4
1629162,Jordan McLaughlin,2021-22,2,5,4,4
1629006,Josh Okogie,2021-22,2,5,1,5
1626157,Karl-Anthony Towns,2021-22,4,1,3,6
1630195,Leandro Bolmaro,2021-22,2,5,1,5
1627736,Malik Beasley,2021-22,2,2,1,4
1630593,McKinley Wright IV,2021-22,3,5,1,4
1630233,Nathan Knight,2021-22,1,3,1,3
1629675,Naz Reid,2021-22,1,4,4,3
201976,Patrick Beverley,2021-22,5,4,4,1
1627752,Taurean Prince,2021-22,2,5,4,5
1630162,Anthony Edwards,2020-21,5,2,4,2
1626156,D'Angelo Russell,2020-21,5,2,4,1
202334,Ed Davis,2020-21,1,3,4,3
1630183,Jaden McDaniels,2020-21,2,5,4,2
1627774,Jake Layman,2020-21,1,5,1,5
1629020,Jarred Vanderbilt,2020-21,1,3,4,2
1629633,Jarrett Culver,2020-21,2,3,1,2
1629669,Jaylen Nowell,2020-21,2,4,1,2
1629162,Jordan McLaughlin,2020-21,2,5,4,4
1629006,Josh Okogie,2020-21,2,5,4,2
1627823,Juancho Hernangomez,2020-21,1,4,1,5
1626157,Karl-Anthony Towns,2020-21,4,1,3,6
1627736,Malik Beasley,2020-21,5,2,4,2
1629675,Naz Reid,2020-21,1,4,4,3
201937,Ricky Rubio,2020-21,5,4,5,1
203459,Allen Crabbe,2019-20,6,5,1,5
1626156,D'Angelo Russell,2019-20,5,2,5,1
1628980,Jacob Evans,2019-20,6,5,1,5
1627774,Jake Layman,2019-20,2,4,4,2
201949,James Johnson,2019-20,4,4,2,6
1629020,Jarred Vanderbilt,2019-20,6,5,2,5
1629633,Jarrett Culver,2019-20,2,4,4,2
1629669,Jaylen Nowell,2019-20,2,5,1,5
1629162,Jordan McLaughlin,2019-20,2,4,4,4
1629006,Josh Okogie,2019-20,2,4,4,2
1627823,Juancho Hernangomez,2019-20,1,4,2,2
1626157,Karl-Anthony Towns,2019-20,4,1,3,6
1629103,Kelan Martin,2019-20,2,5,1,5
1627736,Malik Beasley,2019-20,5,2,4,2
1629675,Naz Reid,2019-20,1,4,4,3
203952,Andrew Wiggins,2018-19,5,1,4,2
201229,Anthony Tolliver,2018-19,1,5,1,3
203710,C.J. Williams,2018-19,6,5,1,5
1629244,Cam Reynolds,2018-19,2,5,1,5
203967,Dario Saric,2018-19,1,4,4,3
201565,Derrick Rose,2018-19,5,4,1,4
203476,Gorgui Dieng,2018-19,1,5,4,3
1629123,Jared Terrell,2018-19,6,5,1,5
201952,Jeff Teague,2018-19,5,4,4,1
201573,Jerryd Bayless,2018-19,2,5,1,4
1629006,Josh Okogie,2018-19,2,4,4,2
1626157,Karl-Anthony Towns,2018-19,4,1,3,6
1628966,Keita Bates-Diop,2018-19,1,5,4,5
2736,Luol Deng,2018-19,1,5,4,3
1628249,Mitchell Creek,2018-19,6,3,2,5
203496,Robert Covington,2018-19,4,2,5,6
201959,Taj Gibson,2018-19,1,4,4,3
1626145,Tyus Jones,2018-19,2,5,4,4
201166,Aaron Brooks,2017-18,2,5,1,4
203952,Andrew Wiggins,2017-18,5,1,4,2
1626148,Anthony Brown,2017-18,3,5,2,5
202332,Cole Aldrich,2017-18,6,3,1,3
201565,Derrick Rose,2017-18,2,3,1,4
203476,Gorgui Dieng,2017-18,1,5,4,3
2037,Jamal Crawford,2017-18,2,4,1,4
201952,Jeff Teague,2017-18,5,4,5,1
202710,Jimmy Butler,2017-18,5,1,5,2
1628383,Justin Patton,2017-18,6,3,1,3
1626157,Karl-Anthony Towns,2017-18,4,1,3,6
1627875,Marcus Georges-Hunt,2017-18,2,5,1,5
202357,Nemanja Bjelica,2017-18,1,5,4,3
201959,Taj Gibson,2017-18,1,4,4,3
1626145,Tyus Jones,2017-18,2,5,4,4
203940,Adreian Payne,2016-17,1,5,1,3
203952,Andrew Wiggins,2016-17,5,1,4,2
201575,Brandon Rush,2016-17,1,5,1,5
202332,Cole Aldrich,2016-17,1,3,1,3
203476,Gorgui Dieng,2016-17,4,4,3,6
101249,John Lucas III,2016-17,6,5,1,4
201941,Jordan Hill,2016-17,1,3,1,3
1626157,Karl-Anthony Towns,2016-17,4,1,3,6
1627739,Kris Dunn,2016-17,2,5,4,2
202357,Nemanja Bjelica,2016-17,1,5,4,3
201956,Omri Casspi,2016-17,1,3,4,3
201937,Ricky Rubio,2016-17,5,4,5,1
203498,Shabazz Muhammad,2016-17,2,4,1,5
1626145,Tyus Jones,2016-17,2,5,1,4
203897,Zach LaVine,2016-17,5,2,4,2
203940,Adreian Payne,2015-16,1,5,1,3
203952,Andrew Wiggins,2015-16,5,1,4,2
204014,Damjan Rudez,2015-16,1,5,1,5
203476,Gorgui Dieng,2015-16,4,4,3,6
202962,Greg Smith,2015-16,1,3,1,3
1626157,Karl-Anthony Towns,2015-16,4,4,3,6
708,Kevin Garnett,2015-16,1,5,4,3
202357,Nemanja Bjelica,2015-16,1,5,1,3
201593,Nikola Pekovic,2015-16,1,3,1,3
201937,Ricky Rubio,2015-16,5,4,5,1
203498,Shabazz Muhammad,2015-16,2,4,1,5
2419,Tayshaun Prince,2015-16,1,5,1,5
1626145,Tyus Jones,2015-16,2,5,1,4
203897,Zach LaVine,2015-16,5,4,4,2
